SampleID,Archaea;Euryarchaeota,Bacteria,Bacteria;Acidobacteria,Bacteria;Actinobacteria,Bacteria;Bacteroidetes,Bacteria;Chlamydiae,Bacteria;Chloroflexi,Bacteria;Cyanobacteria,Bacteria;Firmicutes,Bacteria;Fusobacteria,Bacteria;Gemmatimonadetes,Bacteria;Lentisphaerae,Bacteria;Nitrospirae,Bacteria;Planctomycetes,Bacteria;Proteobacteria,Bacteria;Synergistetes,Bacteria;TM7,Bacteria;Tenericutes,Bacteria;Verrucomicrobia,Bacteria;WPS-2,Bacteria;[Thermi]
SRR33299569,0.0,0.0,0.09161748285510113,6.107002321835953,34.15557700748277,0.0,0.785292710186581,0.0,27.79409473340251,0.45808741427550564,0.1873993967490705,0.0,0.0,0.17178278035331465,4.876829494674625,0.4294569508832866,0.20613933642397758,0.0,21.988195885224275,1.3742622428265172,1.3742622428265172
SRR33299570,0.0,0.0,0.23537895891615318,0.8442940917644625,0.38377004171111934,0.0,0.5043834833917568,0.19614913243012766,1.2930806918390298,0.5324047880246322,0.32097130761293613,0.5884473972903829,0.14711184932259572,0.14711184932259572,86.221869201477,0.5148914726290851,0.17653421918711487,0.1260958708479392,6.590610849652288,0.5884473972903829,0.5884473972903829
SRR33299571,0.0,0.0,0.45642594189716623,20.76862064420665,25.504829065498765,0.0,0.611284743612276,0.0,38.800180896989936,2.608148239412378,0.38899938229872116,0.0,0.21394966026429663,0.64184898079289,1.4263310684286443,0.5348741506607416,0.17115972821143732,0.0,5.305951574554557,0.8557986410571865,1.711597282114373
SRR33299572,0.0,0.0,0.5275536490977804,15.826609472933411,31.75018038730179,0.0,0.28261802630238236,0.2637768245488902,20.475331349477962,15.525150244877537,0.7193913396787913,0.0,0.0,0.19783261841166763,8.180045345561089,0.0,0.23739914209400115,0.0,6.014111599714696,0.0,0.0
SRR33299573,0.0,0.0,0.2532113208704795,7.0948099567573975,0.18015034686437278,0.0,0.33158625352086607,0.28134591207831056,2.487019438824648,0.4622111412715103,0.3069228131763388,0.0,0.0,0.3165141510880994,84.07659045607626,0.1582570755440497,0.08440377362349318,0.0,3.1229396240692475,0.8440377362349318,0.0
SRR33299574,0.17711718399429535,0.0,0.09446249813029085,2.6516239284943057,24.241951965827905,0.0,0.12651227428163958,0.0,12.401082833811966,51.347115055108105,0.611859362889384,0.07084687359771816,0.0,0.17711718399429535,5.225951968191232,0.17711718399429535,0.10627031039657724,0.25302454856327916,1.2752437247589268,1.0627031039657722,0.0
SRR33299575,0.0,0.0,0.2223083744618261,10.668385578793067,64.11355945694521,0.0,0.1587916960441615,0.0,18.28299186485703,0.34404867476234996,0.4041970444760475,0.0,0.0,0.0,1.194803435777979,0.06947136701932065,0.16673128084636954,0.03969792401104037,3.2234714296964775,0.5557709361545652,0.5557709361545652
SRR33299576,0.0,0.0,0.13426602342318444,14.951689238810047,45.96090497456478,0.0,0.19180860489026347,0.0,30.100695901579762,0.38361720978052694,0.18309003194070603,0.0,0.0,0.0,4.5358783942963425,0.0,0.46993108198114547,0.0,3.0881185387332417,0.0,0.0
SRR33299577,0.0,0.3877270828165736,0.02584847218777157,0.40317997379839354,0.8674052524671173,0.0,0.02769479162975525,0.0,0.45302374600867934,0.0,0.03524791661968851,0.0,0.0,0.0,87.95160486093107,0.0,0.07754541656331472,0.0,9.770722486977654,0.0,0.0
SRR33299578,0.0,1.1851490014274815,0.052673288952332524,3.097418404696945,42.60290560599132,0.0,0.0,0.0,28.092114890204794,0.7148517786387985,0.0,0.0,0.0,0.19752483357124692,6.234978641717113,0.0,0.0,0.28217833367320994,17.54020522112673,0.0,0.0
